timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2025,Mid,none,electricity,demand,-477.1757273999988
2025,South,none,electricity,demand,-45.99996189999984
2025,North,none,electricity,demand,-105.78611999999985
2025,Mid,wind,none,expConv,0.0
2025,North,wind,none,expConv,2.5370370370370376
2025,South,wind,none,expConv,2.3940093148684563
2025,Mid,wind,none,capaConv,0.0
2025,North,wind,none,capaConv,2.5370370370370376
2025,South,wind,none,capaConv,2.3940093148684563
2025,Mid,wind,none,oprCapaConv,0.0
2025,North,wind,none,oprCapaConv,2.5370370370370376
2025,South,wind,none,oprCapaConv,2.3940093148684563
2025,Mid,coalPlant,none,expConv,77.32312137315509
2025,North,coalPlant,none,expConv,7.100472222222224
2025,South,coalPlant,none,expConv,1.4095199516163621
2025,Mid,coalPlant,none,capaConv,77.32312137315509
2025,North,coalPlant,none,capaConv,7.100472222222224
2025,South,coalPlant,none,capaConv,1.4095199516163621
2025,Mid,coalPlant,none,oprCapaConv,77.32312137315509
2025,North,coalPlant,none,oprCapaConv,7.100472222222224
2025,South,coalPlant,none,oprCapaConv,1.409519951616362
2025,Mid,pumpedHydro,electricity,oprCapaStIn,0.0
2025,North,pumpedHydro,electricity,oprCapaStIn,0.0
2025,South,pumpedHydro,electricity,oprCapaStIn,6.411616528978691
2025,Mid,pumpedHydro,electricity,capaStOut,0.0
2025,North,pumpedHydro,electricity,capaStOut,0.0
2025,South,pumpedHydro,electricity,capaStOut,6.411616528978691
2025,Mid,pumpedHydro,electricity,capaStSize,0.0
2025,North,pumpedHydro,electricity,capaStSize,0.0
2025,South,pumpedHydro,electricity,capaStSize,13.329001682282184
2025,Mid,pumpedHydro,electricity,expStSize,0.0
2025,North,pumpedHydro,electricity,expStSize,0.0
2025,South,pumpedHydro,electricity,expStSize,13.329001682282184
2025,Mid,pumpedHydro,electricity,expStOut,0.0
2025,North,pumpedHydro,electricity,expStOut,0.0
2025,South,pumpedHydro,electricity,expStOut,6.411616528978691
2025,Mid,pumpedHydro,electricity,oprCapaStSize,0.0
2025,North,pumpedHydro,electricity,oprCapaStSize,0.0
2025,South,pumpedHydro,electricity,oprCapaStSize,13.329001682282184
2025,Mid,pumpedHydro,electricity,oprCapaStOut,0.0
2025,North,pumpedHydro,electricity,oprCapaStOut,0.0
2025,South,pumpedHydro,electricity,oprCapaStOut,6.411616528978691
2025,Mid,pumpedHydro,electricity,capaStIn,0.0
2025,North,pumpedHydro,electricity,capaStIn,0.0
2025,South,pumpedHydro,electricity,capaStIn,6.411616528978691
2025,Mid,pumpedHydro,electricity,expStIn,0.0
2025,North,pumpedHydro,electricity,expStIn,0.0
2025,South,pumpedHydro,electricity,expStIn,6.411616528978691
2025,Mid,solar,none,expConv,0.0
2025,North,solar,none,expConv,0.0
2025,South,solar,none,expConv,17.462398923959796
2025,Mid,solar,none,capaConv,0.0
2025,North,solar,none,capaConv,0.0
2025,South,solar,none,capaConv,17.462398923959796
2025,Mid,solar,none,oprCapaConv,0.0
2025,North,solar,none,oprCapaConv,0.0
2025,South,solar,none,oprCapaConv,17.462398923959796
2025,Mid,hydrogenStorage,electricity,oprCapaStIn,0.0
2025,North,hydrogenStorage,electricity,oprCapaStIn,0.8658015046296326
2025,South,hydrogenStorage,electricity,oprCapaStIn,1.3231548206315351
2025,Mid,hydrogenStorage,electricity,capaStOut,0.0
2025,North,hydrogenStorage,electricity,capaStOut,0.8658015046296326
