timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2020,East,none,electricity,demand,-191.1696496000005
2030,East,none,electricity,demand,-191.1696496000005
2020,West,none,electricity,demand,-188.03019919999997
2030,West,none,electricity,demand,-188.03019919999997
2020,East,wind,none,expConv,0.0
2030,East,wind,none,expConv,24.418325932644773
2020,West,wind,none,expConv,3.909414987236346
2030,West,wind,none,expConv,34.05396175433093
2020,East,wind,none,capaConv,0.0
2030,East,wind,none,capaConv,24.418325932644773
2020,West,wind,none,capaConv,3.909414987236346
2030,West,wind,none,capaConv,37.963376741567274
2020,East,wind,none,oprCapaConv,0.0
2030,East,wind,none,oprCapaConv,24.418325932644773
2020,West,wind,none,oprCapaConv,3.909414987236346
2030,West,wind,none,oprCapaConv,37.963376741567274
2020,East,battery,electricity,oprCapaStIn,0.5146236622782575
2030,East,battery,electricity,oprCapaStIn,0.5146236622782575
2020,West,battery,electricity,oprCapaStIn,3.461329613466399
2030,West,battery,electricity,oprCapaStIn,3.461329613466399
2020,East,battery,electricity,capaStOut,0.5146236622782575
2020,West,battery,electricity,capaStOut,3.461329613466399
2030,East,battery,electricity,capaStOut,0.5146236622782575
2030,West,battery,electricity,capaStOut,3.461329613466399
2020,East,battery,electricity,capaStSize,0.6697464714537888
2030,East,battery,electricity,capaStSize,0.6697464714537888
2020,West,battery,electricity,capaStSize,6.868943539255364
2030,West,battery,electricity,capaStSize,6.868943539255364
2020,East,battery,electricity,expStSize,0.6697464714537888
2030,East,battery,electricity,expStSize,0.0
2020,West,battery,electricity,expStSize,6.868943539255364
2030,West,battery,electricity,expStSize,0.0
2020,East,battery,electricity,expStOut,0.5146236622782575
2030,East,battery,electricity,expStOut,0.0
2020,West,battery,electricity,expStOut,3.461329613466399
2030,West,battery,electricity,expStOut,0.0
2020,East,battery,electricity,oprCapaStSize,0.6697464714537888
2030,East,battery,electricity,oprCapaStSize,0.6697464714537888
2020,West,battery,electricity,oprCapaStSize,6.868943539255364
2030,West,battery,electricity,oprCapaStSize,6.868943539255364
2020,East,battery,electricity,oprCapaStOut,0.5146236622782575
2020,West,battery,electricity,oprCapaStOut,3.461329613466399
2030,East,battery,electricity,oprCapaStOut,0.5146236622782575
2030,West,battery,electricity,oprCapaStOut,3.461329613466399
2020,East,battery,electricity,capaStIn,0.5146236622782575
2030,East,battery,electricity,capaStIn,0.5146236622782575
2020,West,battery,electricity,capaStIn,3.461329613466399
2030,West,battery,electricity,capaStIn,3.461329613466399
2020,East,battery,electricity,expStIn,0.5146236622782575
2030,East,battery,electricity,expStIn,0.0
2020,West,battery,electricity,expStIn,3.461329613466399
2030,West,battery,electricity,expStIn,0.0
2020,East,solar,none,expConv,9.46325627306441
2030,East,solar,none,expConv,30.53674372693559
2020,West,solar,none,expConv,40.03707908942719
2030,West,solar,none,expConv,2.8080475377841836
2020,East,solar,none,capaConv,9.46325627306441
2030,East,solar,none,capaConv,40.0
2020,West,solar,none,capaConv,40.03707908942719
2030,West,solar,none,capaConv,42.84512662721137
2020,East,solar,none,oprCapaConv,9.46325627306441
2030,East,solar,none,oprCapaConv,40.0
2020,West,solar,none,oprCapaConv,40.03707908942719
2030,West,solar,none,oprCapaConv,42.84512662721137
2020,East,hydrogenStorage,hydrogen,oprCapaStIn,0.0
2030,East,hydrogenStorage,hydrogen,oprCapaStIn,0.0
2020,West,hydrogenStorage,hydrogen,oprCapaStIn,0.0
2030,West,hydrogenStorage,hydrogen,oprCapaStIn,0.0
2020,East,hydrogenStorage,hydrogen,capaStOut,0.0
2020,West,hydrogenStorage,hydrogen,capaStOut,0.0
2030,East,hydrogenStorage,hydrogen,capaStOut,0.0
2030,West,hydrogenStorage,hydrogen,capaStOut,0.0
2020,East,hydrogenStorage,hydrogen,capaStSize,0.0
2030,East,hydrogenStorage,hydrogen,capaStSize,0.0
2020,West,hydrogenStorage,hydrogen,capaStSize,0.0
2030,West,hydrogenStorage,hydrogen,capaStSize,0.0
2020,East,hydrogenStorage,hydrogen,expStSize,0.0
2030,East,hydrogenStorage,hydrogen,expStSize,0.0
2020,West,hydrogenStorage,hydrogen,expStSize,0.0
2030,West,hydrogenStorage,hydrogen,expStSize,0.0
2020,East,hydrogenStorage,hydrogen,expStOut,0.0
2030,East,hydrogenStorage,hydrogen,expStOut,0.0
2020,West,hydrogenStorage,hydrogen,expStOut,0.0
2030,West,hydrogenStorage,hydrogen,expStOut,0.0
2020,East,hydrogenStorage,hydrogen,oprCapaStSize,0.0
2030,East,hydrogenStorage,hydrogen,oprCapaStSize,0.0
2020,West,hydrogenStorage,hydrogen,oprCapaStSize,0.0
2030,West,hydrogenStorage,hydrogen,oprCapaStSize,0.0
2020,East,hydrogenStorage,hydrogen,oprCapaStOut,0.0
2020,West,hydrogenStorage,hydrogen,oprCapaStOut,0.0
2030,East,hydrogenStorage,hydrogen,oprCapaStOut,0.0
2030,West,hydrogenStorage,hydrogen,oprCapaStOut,0.0
2020,East,hydrogenStorage,hydrogen,capaStIn,0.0
2030,East,hydrogenStorage,hydrogen,capaStIn,0.0
2020,West,hydrogenStorage,hydrogen,capaStIn,0.0
2030,West,hydrogenStorage,hydrogen,capaStIn,0.0
2020,East,hydrogenStorage,hydrogen,expStIn,0.0
